incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url
INC-2026-06-0001,2026-005-15,"P0 - Critical Outage","Database Connection Pool Exhaustion",Workday Single Sign-On,18,105,YES (Credit Issued),"Mina Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-06-0001.md
INC-2026-06-0002,2026-005-27,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,11,205,NO,"Olivia Patel",https://wiki.helixforge.internal/postmortems/INC-2026-06-0002.md
INC-2026-06-0003,2026-001-08,"P1 - Major Degradation","BGP Route Flapping",Workday Single Sign-On,9,20,NO,"Yuki Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-06-0003.md
INC-2026-06-0004,2026-002-19,"P0 - Critical Outage","Expired TLS Certificate",Expensify Sync,18,75,YES (Credit Issued),"Priya Mueller",https://wiki.helixforge.internal/postmortems/INC-2026-06-0004.md
INC-2026-06-0005,2026-005-09,"P2 - Minor Component Issue","Expired TLS Certificate",Search Reranker,15,219,NO,"Mei-Ling Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-06-0005.md
INC-2026-06-0006,2026-001-14,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,19,121,NO,"Yuki Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-06-0006.md
INC-2026-06-0007,2026-006-14,"P0 - Critical Outage","Corrupted Vector Index Partition",Workday Single Sign-On,17,115,YES (Credit Issued),"Fatima Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-06-0007.md
INC-2026-06-0008,2026-003-15,"P0 - Critical Outage","Upstream Provider Outage",Expensify Sync,11,45,NO,"Mara Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-06-0008.md
INC-2026-06-0009,2026-006-25,"P2 - Minor Component Issue","Upstream Provider Outage",Workday Single Sign-On,17,188,NO,"Sophia Kim",https://wiki.helixforge.internal/postmortems/INC-2026-06-0009.md
INC-2026-06-0010,2026-001-10,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,24,231,YES (Credit Issued),"Xavier Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-06-0010.md
INC-2026-06-0011,2026-005-24,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,2,180,NO,"Xavier Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-06-0011.md
INC-2026-06-0012,2026-003-26,"P1 - Major Degradation","Expired TLS Certificate",Workday Single Sign-On,6,74,NO,"Tariq Santos",https://wiki.helixforge.internal/postmortems/INC-2026-06-0012.md
INC-2026-06-0013,2026-005-10,"P1 - Major Degradation","Corrupted Vector Index Partition",Search Reranker,3,154,NO,"Devon Vance",https://wiki.helixforge.internal/postmortems/INC-2026-06-0013.md
INC-2026-06-0014,2026-003-04,"P0 - Critical Outage","Slurm GPU Out of Memory",Vector Engine API,13,35,NO,"Siddharth Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-06-0014.md
INC-2026-06-0015,2026-003-19,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,14,23,NO,"Mei-Ling Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-06-0015.md
INC-2026-06-0016,2026-001-14,"P2 - Minor Component Issue","BGP Route Flapping",Vector Engine API,12,182,NO,"Chen Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-06-0016.md
INC-2026-06-0017,2026-004-14,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,2,200,YES (Credit Issued),"Kaito Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-06-0017.md
