secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-001/credentials","API Bearer Token","microservice-runtime-v2",90,"2026-05-14T10:00:00Z","2026-06-12T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Dubois","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-002/credentials","API Bearer Token","microservice-runtime-v3",90,"2026-05-12T10:00:00Z","2026-06-12T10:00:00Z","Automated HashiCorp Vault Plugin","Mina Takahashi","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-003/credentials","AWS IAM Credentials","microservice-runtime-v4",30,"2026-05-02T10:00:00Z","2026-06-26T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Novak","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-004/credentials","API Bearer Token","microservice-runtime-v5",90,"2026-05-03T10:00:00Z","2026-06-14T10:00:00Z","Manual YubiKey Escrow Procedure","Marcus Tanaka","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-005/credentials","Database Master Password","microservice-runtime-v6",30,"2026-05-26T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Lars Kovacs","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-006/credentials","Database Master Password","microservice-runtime-v7",30,"2026-05-22T10:00:00Z","2026-06-20T10:00:00Z","Automated HashiCorp Vault Plugin","Dominic Dubois","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-007/credentials","TLS Private Key","microservice-runtime-v8",90,"2026-05-07T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Aris Novak","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-008/credentials","AWS IAM Credentials","microservice-runtime-v9",30,"2026-05-27T10:00:00Z","2026-06-03T10:00:00Z","Manual YubiKey Escrow Procedure","Xavier Silva","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-009/credentials","SSH CA Signing Key","microservice-runtime-v10",90,"2026-05-17T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Kaito Kim","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-010/credentials","AWS IAM Credentials","microservice-runtime-v1",30,"2026-05-17T10:00:00Z","2026-06-12T10:00:00Z","Automated HashiCorp Vault Plugin","Dominic Kim","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-011/credentials","SSH CA Signing Key","microservice-runtime-v2",90,"2026-05-08T10:00:00Z","2026-06-02T10:00:00Z","Automated HashiCorp Vault Plugin","Devon Zhao","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-012/credentials","TLS Private Key","microservice-runtime-v3",90,"2026-05-20T10:00:00Z","2026-06-05T10:00:00Z","Manual YubiKey Escrow Procedure","Olivia Takahashi","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-013/credentials","API Bearer Token","microservice-runtime-v4",90,"2026-05-26T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Ananya Tanaka","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-014/credentials","API Bearer Token","microservice-runtime-v5",90,"2026-05-21T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Viktor Silva","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-015/credentials","AWS IAM Credentials","microservice-runtime-v6",30,"2026-05-04T10:00:00Z","2026-06-18T10:00:00Z","Automated HashiCorp Vault Plugin","Chen Tanaka","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-016/credentials","AWS IAM Credentials","microservice-runtime-v7",30,"2026-05-24T10:00:00Z","2026-06-02T10:00:00Z","Manual YubiKey Escrow Procedure","Aris Hale","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-017/credentials","SSH CA Signing Key","microservice-runtime-v8",90,"2026-05-06T10:00:00Z","2026-06-02T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Ivanov","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-018/credentials","API Bearer Token","microservice-runtime-v9",90,"2026-05-18T10:00:00Z","2026-06-23T10:00:00Z","Automated HashiCorp Vault Plugin","Yuki Moreau","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-019/credentials","TLS Private Key","microservice-runtime-v10",90,"2026-05-12T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Smith","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-020/credentials","SSH CA Signing Key","microservice-runtime-v1",90,"2026-05-11T10:00:00Z","2026-06-11T10:00:00Z","Manual YubiKey Escrow Procedure","Beatriz Garcia","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-021/credentials","SSH CA Signing Key","microservice-runtime-v2",90,"2026-05-02T10:00:00Z","2026-06-07T10:00:00Z","Automated HashiCorp Vault Plugin","Aisha Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-022/credentials","Database Master Password","microservice-runtime-v3",30,"2026-05-18T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Zoe Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-023/credentials","API Bearer Token","microservice-runtime-v4",90,"2026-05-13T10:00:00Z","2026-06-16T10:00:00Z","Automated HashiCorp Vault Plugin","Mina Watanabe","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-024/credentials","Database Master Password","microservice-runtime-v5",30,"2026-05-26T10:00:00Z","2026-06-16T10:00:00Z","Manual YubiKey Escrow Procedure","Olivia Al-Mansoor","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-025/credentials","SSH CA Signing Key","microservice-runtime-v6",90,"2026-05-26T10:00:00Z","2026-06-23T10:00:00Z","Automated HashiCorp Vault Plugin","Devon Moreau","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-026/credentials","Database Master Password","microservice-runtime-v7",30,"2026-05-12T10:00:00Z","2026-06-20T10:00:00Z","Automated HashiCorp Vault Plugin","Mina Smith","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-027/credentials","Database Master Password","microservice-runtime-v8",30,"2026-05-25T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Chen Vance","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-028/credentials","AWS IAM Credentials","microservice-runtime-v9",30,"2026-05-01T10:00:00Z","2026-06-20T10:00:00Z","Manual YubiKey Escrow Procedure","Gabriel Lin","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-029/credentials","Database Master Password","microservice-runtime-v10",30,"2026-05-20T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Kim","COMPLIANT_ROTATED","VAULT-PROD-03"
