incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-05-0001,2026-003-04,"P0 - Critical Outage","Upstream Provider Outage",Workday Single Sign-On,2,26,NO,"Olivia Novak",https://wiki.helixforge.internal/postmortems/INC-2026-05-0001.md,0
INC-2026-05-0002,2026-006-28,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,12,195,NO,"Soren Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-05-0002.md,0
INC-2026-05-0003,2026-001-27,"P2 - Minor Component Issue","Expired TLS Certificate",Expensify Sync,6,213,NO,"Devon Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-05-0003.md,0
INC-2026-05-0004,2026-002-28,"P1 - Major Degradation","Expired TLS Certificate",Workday Single Sign-On,18,53,NO,"Devon Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0004.md,0
INC-2026-05-0005,2026-005-05,"P1 - Major Degradation","Database Connection Pool Exhaustion",Workday Single Sign-On,13,223,NO,"Zoe Patel",https://wiki.helixforge.internal/postmortems/INC-2026-05-0005.md,0
INC-2026-05-0006,2026-002-01,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,18,35,NO,"Mina Chen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0006.md,0
INC-2026-05-0007,2026-002-12,"P0 - Critical Outage","Slurm GPU Out of Memory",Workday Single Sign-On,5,120,YES (Credit Issued),"Marcus Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-05-0007.md,29509
INC-2026-05-0008,2026-004-15,"P0 - Critical Outage","Database Connection Pool Exhaustion",Vector Engine API,23,93,YES (Credit Issued),"Dmitri Lin",https://wiki.helixforge.internal/postmortems/INC-2026-05-0008.md,45814
INC-2026-05-0009,2026-003-22,"P0 - Critical Outage","Corrupted Vector Index Partition",Vector Engine API,4,73,YES (Credit Issued),"Soren Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0009.md,32597
INC-2026-05-0010,2026-001-09,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,11,138,NO,"Hannah Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-05-0010.md,0
